"","speaker","time","transcript"
"67","moderator",11M 44S,"Mr. President."
"68","DT",11M 44S,"I got rid of it. And we will protect people."
"69","moderator",11M 46S,"Mr. President, I’m the moderator of this debate and I would like you to let me ask my question and then you can answer."
"70","DT",11M 52S,"Go ahead."
"71","moderator",11M 53S,"You, in the course of these four years, have never come up with a comprehensive plan to replace Obamacare, and just this last Thursday you signed a largely symbolic Executive Order to protect people with pre-existing conditions five days before this debate. So my question, sir, is what is the Trump healthcare plan?"
"72","DT",12M 16S,"Well, first of all, I guess I’m debating you, not him, but that’s okay. I’m not surprised. Let me just tell you something. There’s nothing symbolic. I’m cutting drug prices. I’m going with Favored Nations, which no President has the courage to do because you’re going against big pharma. Drug prices will be coming down 80 or 90%. You could have done it during your 47 year period in government, but you didn’t do it. Nobody’s done it. So we’re cutting healthcare."
"73","moderator",12M 40S,"What about pre-existing conditions?"
"74","DT",12M 40S,"All of the things that we’ve done."
"75","JB",12M 41S,"He has not done healthcare."
"76","DT",12M 42S,"I’ll give you an example. Insulin, it was destroying families, destroying people, the cost. I’m getting it for so cheap it’s like water, you want to know the truth. So cheap. Take a look at all of the drugs that what we’re doing. Prescription drug prices, we’re going to allow our Governors now to go to other countries to buy drugs because when they paid just a tiny fraction of what we do."
"77","moderator",13M 3S,"Okay, like I say, this is open discussion."
"78","DT",13M 4S,"This is big stuff."
"79","moderator",13M 6S,"Sir, you’ll be happy. I’m about to pick up on one of your points to ask the Vice President, which is, he points out that you would like to add a public option to Obamacare."
"80","JB",13M 17S,"Yes."
"81","moderator",13M 17S,"And the argument that he makes and other Republicans make is that that is going to end private insurance."
"82","JB",13M 23S,"It is not."
"83","moderator",13M 25S,"If I start asking the question."
"84","DT",13M 26S,"That’s not what your party says, by the way."
"85","moderator",13M 29S,"And it will end private insurance and create a government takeover of health."
"86","JB",13M 32S,"It does not. It’s only for those people who are so poor they qualify for Medicaid they can get that free in most States, except Governors who want to deny people who are poor Medicaid. Anyone who qualifies for Medicare, excuse me, Medicaid would automatically be enrolled in the public option. The vast majority of the American people would still not be in that option. Number one. Number two."
"87","DT",13M 57S,"Joe, you agreed with Bernie Sanders, who’s far left, on the manifesto, we call it. And that gives you socialized medicine."
"88","JB",14M 4S,"Look, hey."
"89","DT",14M 5S,"Are you saying you didn’t agree?"
"90","JB",14M 6S,"I’m not going to listen to him. The fact of the matter is I beat Bernie Sanders."
"91","DT",14M 10S,"Not by much."
"92","JB",14M 10S,"I beat him by a whole hell of a lot."
"93","DT",14M 12S,"Not by much."
"94","JB",14M 12S,"I’m here standing facing you, old buddy."
"95","DT",14M 14S,"If Pocahontas would have left two days early you would have lost every primary."
"96","JB",14M 17S,"All he knows how to do-"
"97","DT",14M 18S,"On Super Tuesday, you got very lucky."
"98","JB",14M 21S,"Look he’s the deal. I got very lucky. I’m going to get very lucky tonight as well."
"99","DT",14M 23S,"With what?"
"100","JB",14M 23S,"And tonight I’m going to make sure."
"101","DT",14M 25S,"With what?"
"102","JB",14M 25S,"Because here’s the deal, here’s the deal. The fact is that everything he’s saying so far is simply a lie. I’m not here to call out his lies. Everybody knows he’s a liar."
"103","DT",14M 34S,"But you agree. Joe, you’re the liar. You graduated last in your class not first in your class."
"104","JB",14M 41S,"God, I want to make sure-"
"105","moderator",14M 43S,"Mr. President, can you let him finish, sir?"
"106","JB",14M 44S,"No, he doesn’t know how to do that."
"107","DT",14M 46S,"You’d be surprised. You’d be surprised. Go ahead, Joe."
"108","JB",14M 47S,"The wrong guy, the wrong night, at the wrong time."
"109","DT",14M 51S,"Listen, you agreed with Bernie Sanders and the manifesto."
"110","JB",14M 55S,"There is no manifesto, number one."
"111","moderator",14M 57S,"Please let him speak, Mr. President."
"112","JB",14M 58S,"Number two."
"113","DT",14M 58S,"He just lost the left."
"114","JB",14M 59S,"Number two."
"115","DT",15M 1S,"You just lost the left. You agreed with Bernie Sanders on a plan that you absolutely agreed to and under that plan [crosstalk 00:15:10], they call it socialized medicine."
"116","moderator",15M 13S,"Mr. President."
"117","JB",15M 14S,"I’ll tell you what, he is not for any help for people needing healthcare."
"118","DT",15M 20S,"Who is, Bernie?"
"119","JB",15M 21S,"Because he, in fact, already has costs 10 million people their healthcare that they had from their employers because of his recession. Number one. Number two, there are 20 million people getting healthcare through Obamacare now that he wants to take it away. He won’t ever look you in the eye and say that’s what he wants to do. Take it away."
"120","DT",15M 41S,"No, I want to give them better healthcare at a much lower price, because Obamacare is no good."
"121","JB",15M 45S,"He doesn’t know how. He doesn’t know how to do that."
"122","DT",15M 46S,"I’ve already fixed it."
"123","JB",15M 47S,"He has never offered a plan."
"124","DT",15M 49S,"We’ve already fixed it to an extent. Obamacare, as you might know but probably don’t, Obamacare is no good."
"125","moderator",15M 54S,"Gentlemen, you realize if you’re both speaking at the same time. Let the President. Go ahead, sir."
"126","DT",15M 59S,"Obamacare is no good. We made it better and I had a choice to make very early on. We took away the individual mandate. We guaranteed pre-existing conditions, but took away the individual mandate. Listen, this is the way it is. And that destroyed … They shouldn’t even call it Obamacare, then I had a choice to make, do I let my people run it really well or badly? If I run it badly, they’ll probably blame him, but they’ll blame me. But more importantly, I want to help people. Okay. I said, “You’ve got to run it so well.” And I just had a meeting with them. They said the problem is, no matter how well you run Obamacare, it’s a disaster. It’s too expensive. Premiums are too high, that it doesn’t work. So we do want to get rid of it. Chris, we want to get rid of that and give something that’s cheaper and better."
"127","moderator",16M 42S,"I understand that, sir. But I have to give you roughly equal time."
"128","DT",16M 45S,"Go ahead."
"129","moderator",16M 45S,"Please let the Vice President talk, sir."
"130","DT",16M 47S,"Good."
"131","JB",16M 48S,"He has no plan for healthcare."
"132","DT",16M 50S,"Of course, we do."
"133","moderator",16M 52S,"Please."
"134","JB",16M 52S,"He sends out wishful thinking. He has Executive Orders that have no power. He hasn’t lowered drug costs for anybody. He’s been promising a healthcare plan since he got elected. He has none, like almost everything else he talks about. He does not have a plan. He doesn’t have a plan. And the fact is this man doesn’t know what he’s talking about. [crosstalk 00:17:14]."
"135","moderator",17M 13S,"All right, I have one final question for you."
"136","JB",17M 15S,"Sure."
"137","moderator",17M 16S,"Mr. Vice President, if Senate Republicans, we were talking originally about the Supreme Court here, if Senate Republicans go ahead and confirm Justice Barrett there has been talk about ending the filibuster or even packing the court, adding to the nine justices there. You call this a distraction by the President. But, in fact, it wasn’t brought up by the President. It was brought up by some of your Democratic colleagues in the Congress. So my question to you is, you have refused in the past to talk about it, are you willing to tell the American tonight whether or not you will support either ending the filibuster or packing the court?"
"138","JB",17M 55S,"Whatever position I take on that, that’ll become the issue. The issue is the American people should speak. You should go out and vote. You’re voting now. Vote and let your Senators know strongly how you feel."
"139","DT",18M 5S,"Are you going to pack the court?"
"140","JB",18M 7S,"Vote now."
"141","DT",18M 8S,"Are you going to pack the court?"
"142","JB",18M 9S,"Make sure you, in fact, let people know, your Senators."
"143","DT",18M 12S,"He doesn’t want to answer the question."
"144","JB",18M 17S,"I’m not going to answer the question."
"145","DT",18M 18S,"Why wouldn’t you answer that question? You want to put a lot of new Supreme Court Justices. Radical left."
"146","JB",18M 18S,"Will you shut up, man?"
"147","DT",18M 20S,"Listen, who is on your list, Joe? Who’s on your list?"
"148","moderator",18M 23S,"Gentlemen, I think we’ve ended this-"
"149","JB",18M 25S,"This is so un-Presidential."
"150","DT",18M 25S,"He’s going to pack the court. He is not going to give a list."
"151","moderator",18M 27S,"We have ended the segment. We’re going to move on to the second segment."
"152","JB",18M 30S,"That was really a productive segment, wasn’t it? Keep yapping, man."
"153","DT",18M 35S,"The people understand, Joe."
"154","JB",18M 37S,"They sure do."
"155","DT",18M 37S,"47 years, you’ve done nothing. They’re understand."
"156","moderator",18M 40S,"All right, the second subject is COVID-19, which is an awfully serious subject. So let’s try to be serious about it. We have had more than seven million cases of coronavirus in the United States and more than 200,000 people have died. Even after we produce a vaccine, experts say that it could be months or even years before we come back to anything approaching normal. My question for both of you is, based on what you have said and done so far, and what you have said you would do starting in 2021, why should the American people trust you more than your opponent to deal with this public health crisis going forward? In this case, the question goes to you first, sir. Two minutes, uninterrupted."
"157","JB",19M 33S,"Good luck. 200,000 dead. As you said, over seven million infected in the United States. We, in fact, have 4% of the world’s population, 20% of the deaths. 40,000 people a day are contracting COVID. In addition to that, about between 750 and 1000 people a day are dying. When he was presented with that number, he said, “It is what it is.” Well, it is what it is because you are who you are. That’s why it is. The President has no plan. He hasn’t laid out anything. He knew all the way back in February how serious this crisis was. He knew it was a deadly disease. What did he do? He’s on tape as acknowledging he knew it. He said he didn’t tell us or give people a warning of it because he didn’t want to panic the American people. You don’t panic. He panicked. In addition to that, what did he do?"
"158","JB",20M 30S,"He went in and we were insisting that the people we had in the ground in China should be able to go to Wuhan and determine for themselves how dangerous this was. He did not even ask Xi to do that."
"159","DT",20M 43S,"Wrong."
"160","JB",20M 43S,"He told us what a great job Xi was doing. He said we owe him debt of gratitude for being so transparent with us. And what did he do then? He then did nothing. He waited and waited and waited. He still doesn’t have a plan."
"161","DT",20M 57S,"Wrong."
"162","moderator",20M 57S,"Sir, it’s his two minutes."
"163","DT",20M 57S,"It’s so wrong."
"164","JB",20M 57S,"I laid out back in March, exactly what we should be doing. And I laid out again in July, what we should be doing. We should be providing all the protective gear possible. We should be providing the money the House has passed in order to be able to go out and get people the help they need to keep their businesses open. Open schools cost a lot of money. You should get out of your bunker and get out of the sand trap in your golf course and go in the Oval Office and bring together the Democrats and Republicans and fund what needs to be done now to save lives."
"165","DT",21M 30S,"So, if we would have listened to you."
"166","moderator",21M 31S,"Wait, wait. You have two minutes, sir."
"167","DT",21M 31S,"If we would’ve listened to you, the country would have been left wide open, millions of people would have died, not 200,000. And one person is too much. It’s China’s fault. It should have never happened. They stopped it from going in, but it was China’s fault. And, by the way, when you talk about numbers, you don’t know how many people died in China. You don’t know how many people died in Russia. You don’t know how many people died in India. They don’t exactly give you a straight count, just so you understand. But if you look at what we’ve done, I closed it and you said, “He’s xenophobic. He’s a racist and he’s xenophobic,” because you didn’t think I should have closed our country. Wait a minute."
"168","moderator",22M 6S,"Sir, it’s his two minutes."
"169","DT",22M 7S,"You didn’t think we should have closed our country because you thought it was terrible. You wouldn’t have closed it for another two months. By my doing it early, in fact, Dr. Fauci said, “President Trump saved thousands of lives.” Many of your Democrat Governors said, “President Trump did a phenomenal job.” We worked with the Governor. Oh really, go take a look. The Governors said I did a phenomenal job. Most of them said that. In fact, people that would not be necessarily on my side said that, “President Trump did a phenomenal job.” We did. We got the gowns. We got the masks. We made the ventilators. You wouldn’t have made ventilators. And now we’re weeks away from a vaccine. We’re doing therapeutics already. Fewer people are dying when they get sick. Far fewer people are dying. We’ve done a great job."
"170","DT",22M 54S,"The only thing I haven’t done a good job, and that’s because of the fake news, no matter what you say to them, they give you a bad press on it. It’s just fake news. They give you good press, they give me bad press because that’s the way it is, unfortunately. But let me just say something. I don’t care. I’ve gotten used to it. But I’ll tell you, Joe, you could never have done the job that we did. You don’t have it in your blood. You could’ve never done that, Joe."
"171","JB",23M 15S,"I know how to do the job. I know how to get the job done."
"172","DT",23M 18S,"Well, you didn’t do very well in Swine Flu. H1-N1, you were a disaster. Your own Chief of Staff said you were a disaster."
"173","JB",23M 25S,"14,000 people died, not 200,000."
"174","DT",23M 27S,"A far less lethal disease, by the way."
"175","moderator",23M 32S,"Sir, you made a point. Let him answer it."
"176","JB",23M 33S,"And there was no one … We didn’t shut down the economy. This is his economy he shut down. The reason it’s shut down is because, look, you folks at home. How many of you got up this morning and had an empty chair at the kitchen table because someone died of COVID? How many of you are in a situation where you lost your mom or dad and you couldn’t even speak to them, you had a nurse holding a phone up so you could in fact say goodbye?"
"177","DT",23M 57S,"We would have lost far more people, far more people. You would have been months late. You’re months behind me, Joe."
"178","JB",24M 3S,"His own CDC Director says we could lose as many as another 200,000 people between now and the end of the year. And he said, if we just wear a mask, we can save half those numbers. Just a mask. And by the way, in terms of the whole notion of a vaccine, we’re for a vaccine, but I don’t trust him at all. Nor do you. I know you don’t. What we trust is a scientist."
"179","DT",24M 25S,"You don’t trust Johnson & Johnson, Pfizer?"
"180","moderator",24M 30S,"Okay, gentlemen, gentlemen. Let me move on to questions about the future because you both have touched on two of the questions I’m going to ask. Focusing on the future first, President Trump, you have repeatedly either contradicted or been at odds with some of your governments own top scientists. The week before last, the Head of the Centers for Disease Control, Dr. Redfield said it would be summer before the vaccine would become generally available to the public. You said that he was confused and mistaken. Those were your two words. But Dr. Slaoui, the head of your Operation Warp Speed, has said exactly the same thing. Are they both wrong?"
"181","DT",24M 45S,"Well, I’ve spoken to the companies and we can have it a lot sooner. It’s a very political thing because people like this would rather make it political than save lives."
"182","JB",24M 52S,"God."
"183","DT",24M 53S,"It is a very political thing. I’ve spoken to Pfizer, I’ve spoken to all of the people that you have to speak to, Moderna, Johnson & Johnson, and others. They can go faster than that by a lot. It’s become very political because the left… Or I don’t know if I call them left, I don’t know what I call them."
"184","moderator",24M 68S,"So you’re suggesting that the head of your Operation Warp Speed, Dr. Slaoui-"
"185","DT",24M 72S,"I disagree with him. No, I disagree with both of them. And he didn’t say that. He said it could be there, but it could also be much sooner. I had him in my office two days ago."
"186","moderator",24M 79S,"He talked about the summer, sir, before it’s generally available, just like Dr. Redfield."
"187","DT",24M 83S,"Because he said it’s a possibility that we’ll have the answer before November 1st. It could also be after that."
"188","moderator",24M 89S,"I’m talking about when it’s generally available, not-"
"189","DT",25M 30S,"Well, we’re going to deliver it right away. We have the military all set up. Logistically, they’re all set up. We have our military that delivers soldiers and they can do 200,000 a day. They’re going to be delivering-"
"190","JB",25M 41S,"This is the same man who told you-"
"191","DT",25M 43S,"It’s all set up."
"192","JB",25M 44S,"… by Easter, this would be gone away. By the warm weather, it’d be gone. Miraculous, like a miracle. And by the way, maybe you could inject some bleach in your arm, and that would take care of it. This is the same man."
"193","DT",25M 54S,"That was said sarcastically, and you know that. That was said sarcastically."
"194","JB",25M 58S,"So here’s the deal. This man is talking about a vaccine. Every serious company is talking about maybe having a vaccine done by the end of the year, but the distribution of that vaccine will not occur until sometime beginning of the middle of next year to get it out, if we get the vaccine. And pray God we will. Pray God we will."
"195","moderator",25M 79S,"Mr. Vice President, I want to pick up-"
"196","DT",25M 80S,"You’ll have the vaccine sooner than that."
"197","moderator",25M 81S,"I want to pick up on this question though. You say the public can trust the scientists, but they can’t trust President Trump. In fact, you said that again tonight. Your running mate, Senator Harris, goes further, saying that public health experts quote, “Will be muzzled, will be suppressed.” Given the fact that polls already show that people are concerned about the vaccine and are reluctant to take it, are you and your running mate, Senator Harris, contributing to that fear?"
"198","JB",26M 48S,"No more than the question you just asked him. You pointed out he puts pressure and disagrees with his own scientists."
"199","moderator",26M 55S,"But you’re saying you can’t-"
"200","JB",26M 56S,"Everybody knows-"
"201","moderator",26M 56S,"Or Senator Harris is saying you can’t trust the scientist."
"202","JB",26M 58S,"Well, no, no. You can trust the scientist. She didn’t say that. You can trust the-"
"203","moderator",26M 62S,"She said that public health experts quote, “Will be muzzled, will be suppressed.”"
"204","JB",26M 66S,"Yes. Well, that’s what he’s going to try to do, but there’s thousands of scientists out there, like here at this great hospital that don’t work for him. Their job doesn’t depend on him. They’re the people… And by the way-"
"205","DT",26M 81S,"We spoke to the scientists that are in charge-"
"206","JB",26M 83S,"By the way-"
"207","DT",26M 83S,"… they will have the vaccine very soon."
"208","moderator",26M 85S,"Let him finish."
"209","JB",26M 85S,"Do you believe for a moment what he’s telling you in light of all the lies he’s told you about the whole issue relating to COVID? He still hasn’t even acknowledged that he knew this was happening, knew how dangerous it was going to be back in February, and he didn’t even tell you. He’s on record as saying it. He panicked or he just looked at the stock market. One of the two. Because guess what? A lot of people died and a lot more are going to die unless he gets a lot smarter, a lot quicker-"
"210","moderator",27M 57S,"Mr. President?"
"211","DT",27M 58S,"Did you use the word smart? So you said you went to Delaware State, but you forgot the name of your college. You didn’t go to Delaware State. You graduated either the lowest or almost the lowest in your class. Don’t ever use the word smart with me. Don’t ever use that word."
"212","JB",27M 74S,"Oh, give me a break."
"213","DT",27M 74S,"Because you know what? There’s nothing smart about you, Joe. 47 years you’ve done nothing."
"214","JB",27M 79S,"Well, let’s have this debate-"
"215","DT",27M 81S,"Let me just tell you something, Joe. If you would have had the charge of what I was put through, I had to close the greatest economy of the history of our country. And by the way, now it’s being built again and it’s going up fast."
"216","moderator",28M 32S,"We’ll get to the economy in the next segment, sir."
"217","DT",28M 34S,"Okay. It’s going up fast. I look forward to talking about it."
"218","moderator",28M 36S,"Okay. When it comes to how the virus has been handled so far, the two of you have taken very different approaches, and this is going to affect how the virus is handled going forward by whichever of you ends up becoming the next president. I want to quickly go through several of those. Reopenings. Vice President Biden, you have been much more reluctant than President Trump about reopening the economy and schools. Why, sir?"
"219","JB",28M 61S,"Because he doesn’t have a plan. If I were running it, I’d know what the plan is. You’ve got to provide these businesses the ability to have the money to be able to reopen with the PPE, as well as with the sanitation they need. You have to provide them classic-"
"220","DT",28M 75S,"Tell that to Nancy Pelosi."
"221","JB",28M 77S,"Will he just shush for a minute?"
"222","DT",28M 79S,"Tell that to Nancy Pelosi, and Schumer [crosstalk 00:04:52] Chuck."
"223","JB",28M 82S,"Nancy Pelosi and Schumer, they have a plan. He won’t even meet with them. The Republicans won’t meet in the Senate. He sits in his golf course. Well, I mean, literally, think about it. Think about it."
"224","DT",29M 34S,"You probably play more than I do, Joe."
"225","moderator",29M 36S,"What about this question of reopenings and the fact-"
"226","DT",29M 38S,"Well, he wants to shut down this country and I want to keep it open, and we did a great thing by shutting it down-"
"227","JB",29M 45S,"You just admitted you’d shut it down."
"228","DT",29M 45S,"Wait a minute, Joe. Let me shut you down for a second, Joe, just for one second. He wants to shut down the country. We just went through it. We had to, because we didn’t know anything about the disease. Now we’ve found that elderly people with heart problems and diabetes and different problems are very, very vulnerable. We learned a lot. Young children aren’t, even younger people aren’t. We’ve learned a lot, but he wants to shut it down. More people will be hurt by continuing. If you look at Pennsylvania, if you look at certain states that have been shut down, they have Democrat governors, all, one of the reasons they shut down is because they want to keep it shut down until after the election on November 3rd."
"229","moderator",29M 84S,"All right. I want to move onto another-"
"230","DT",29M 85S,"Because it’s a political thing."
"231","moderator",29M 85S,"I want to move onto another subject."
"232","JB",29M 85S,"I got to respond to that."
"233","moderator",29M 85S,"I want to move-"
"234","DT",29M 87S,"But those states-"
"235","moderator",29M 88S,"Gentlemen, I want to move onto another subject."
"236","DT",30M 30S,"Those states are not doing well that are shut down right now."
"237","JB",30M 32S,"I got to respond to that."
"238","DT",30M 34S,"He wants to shut down the whole country."
"239","moderator",30M 34S,"President Trump, you have begun to increasingly question the effectiveness of masks as a disease preventer. And in fact, recently you have cited the issue of waiters touching their masks and touching plates. Are you questioning the efficacy of masks?"
"240","DT",30M 50S,"No, I think masks are okay. You have to understand, if you look… I mean, I have a mask right here. I put a mask on when I think I need it. Tonight, as an example, everybody’s had a test and you’ve had social distancing and all of the things that you have to, but I wear masks-"
"241","JB",30M 63S,"Just like your rally."
"242","DT",30M 63S,"… when needed. When needed, I wear masks."
"243","moderator",30M 65S,"Okay. Let me ask-"
"244","DT",30M 66S,"I don’t wear a mask like him. Every time you see him, he’s got a mask. He could be speaking 200 feet away from him and he shows up with the biggest mask I’ve ever seen. I will say this-"
"245","moderator",30M 75S,"Vice President Biden, go ahead, sir."
